ID,genders,pattern,SNR,file1,file2,output_file,sentence1,sentence2,duration,overlap_ratio
1,М-М,Частичное перекрытие,-5,common_voice_ru_18928687.mp3,common_voice_ru_37292770.mp3,combo_1.wav,Послышался злобный смех.,А он всё больше и больше хочет уйти от меня.,3.744,0.5
2,М-М,Частичное перекрытие,0,common_voice_ru_35279768.mp3,common_voice_ru_21961235.mp3,combo_2.wav,Она села и начала расспрашивать Левина о его жизни в деревне.,Он также настоятельно призвал соседние страны принять в переговорном процессе активное участие.,4.86,0.5
3,М-М,Частичное перекрытие,5,common_voice_ru_19593636.mp3,common_voice_ru_29263687.mp3,combo_3.wav,"Прилагая такие усилия, необходимо стараться учитывать потребности простых людей, в особенности женщин.",Я вас узнать не могу.,9.096,0.28891820580474936
4,М-М,Параллельный диалог,-5,common_voice_ru_20792848.mp3,common_voice_ru_21889094.mp3,combo_4.wav,Поэтому наша делегация приветствует включение соответствующего положения в эту резолюцию.,Именно поэтому этот пункт сохраняется в повестке дня Конференции по разоружению.,7.296,0.7960526315789473
5,М-М,Параллельный диалог,0,common_voice_ru_21214070.mp3,common_voice_ru_20792810.mp3,combo_5.wav,Это поможет Африке твердо гарантировать свое будущее.,"Я потратил годы, защищая Израиль на полях сражений.",4.656,1.0
6,М-М,Параллельный диалог,5,common_voice_ru_32349216.mp3,common_voice_ru_18891506.mp3,combo_6.wav,Степан Трофимович крепко держал ее за руку.,Ассамблея приступает к принятию решения по данному проекту резолюции.,3.816,1.0
7,М-Ж,Частичное перекрытие,-5,common_voice_ru_18991883.mp3,common_voice_ru_18932807.mp3,combo_7.wav,Я твоя сестра… Я старше.,"– Нюрка, – спросила ее бабка, – ты не видала, кто к нам сейчас во двор заскакивал?",3.624,0.5
8,М-Ж,Частичное перекрытие,0,common_voice_ru_35228327.mp3,common_voice_ru_18940587.mp3,combo_8.wav,А лейкемия относится к раковым заболеваниям?,Во всех пунктах его приветствовала многочисленная ликующая толпа людей.,4.068,0.5
9,М-Ж,Частичное перекрытие,5,common_voice_ru_37393940.mp3,common_voice_ru_26078720.mp3,combo_9.wav,"И рад, что был.",Мы должны предпринимать действия в отношении социальных детерминантов здоровья.,2.988,0.5
10,М-Ж,Параллельный диалог,-5,common_voice_ru_20719873.mp3,common_voice_ru_18913577.mp3,combo_10.wav,Выступление президента Украины господина Виктора Януковича.,Я вот уже десять лет являюсь членом исполкома Международной федерации философских обществ.,6.096,1.0
11,М-Ж,Параллельный диалог,0,common_voice_ru_19644540.mp3,common_voice_ru_32592173.mp3,combo_11.wav,Мы не можем больше терять время.,Решение Анны просить мужа о разводе.,3.216,1.0
12,М-Ж,Параллельный диалог,5,common_voice_ru_19024250.mp3,common_voice_ru_38000636.mp3,combo_12.wav,Благодарю посла Чили за его заявление.,Он поглядел на меня как бы с сожалением; однако мы разговорились.,4.896,1.0
13,Ж-Ж,Частичное перекрытие,-5,common_voice_ru_26035543.mp3,common_voice_ru_19535318.mp3,combo_13.wav,Благодарю посла Бразилии за его выступление и предоставляю слово послу Индии.,Мы допустили ошибку.,6.768,0.39361702127659576
14,Ж-Ж,Частичное перекрытие,0,common_voice_ru_28841162.mp3,common_voice_ru_18892572.mp3,combo_14.wav,Я всё устрою.,"Для таких государств, как Соединенное Королевство, односторонних действий по расщепляющемуся материалу недостаточно.",2.556,0.5
15,Ж-Ж,Частичное перекрытие,5,common_voice_ru_22423336.mp3,common_voice_ru_20387167.mp3,combo_15.wav,девять,Камерун приветствует роль Организации Объединенных Наций в этом плане.,2.304,0.5
16,Ж-Ж,Параллельный диалог,-5,common_voice_ru_18926727.mp3,common_voice_ru_38070227.mp3,combo_16.wav,Теперь я предоставляю слово представителю Египта.,Самое лучшее — это использовать морфина гидрохлорид пятипроцентный раствор.,3.744,1.0
