ID,genders,pattern,SNR,path1,path2,sentence1,sentence2,duration,overlap_ratio,start1,end1,start2,end2
1,М-М,Частичное перекрытие,-5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_37264600.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_22460934.mp3,"Все ожидали, что это будет кринжовый сериал, но не настолько же!","Третьим аспектом, которым нам следует заняться, является ядерное топливо.",5.076,1.0,0.0,5.076,2.538,7.6739999999999995
2,М-М,Частичное перекрытие,0,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_19287930.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_20497595.mp3,Мир добился замечательного прогресса в борьбе с малярией.,"Однако, хотя ответственность за тупик, несомненно, является коллективной, она распределяется среди нас неравномерно.",5.016,1.0,0.0,5.016,2.508,10.956
3,М-М,Частичное перекрытие,5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_22407242.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_32234089.mp3,да,Что она думает?,1.944,1.0,0.0,1.944,0.972,3.78
4,М-М,Параллельный диалог,-5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_24474226.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18966668.mp3,"Кстати, в рамках данного заседания времени у нас осталось совсем немного.",Сейчас слово предоставляется представителю Канады.,5.544,1.0,0.0,5.544,0.0,4.176
5,М-М,Параллельный диалог,0,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_25254145.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_35218950.mp3,"Во-вторых, принадлежащие членам кооперативы — это предприятия, которые руководствуются в своей деятельности определенными ценностями.","Нет таких учебников иврита, которые бы могли заставить меня ему выучиться.",9.144,1.0,0.0,9.144,0.0,6.408
6,М-М,Параллельный диалог,5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_37393722.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_31471453.mp3,семьдесят пять книг,Между тем Николай вернулся.,2.988,1.0,0.0,2.988,0.0,4.824
7,М-Ж,Частичное перекрытие,-5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_19043497.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18930985.mp3,Благодарю посла России за его выступление.,"Все делается так, как надо.",3.552,1.0,0.0,3.552,1.776,5.28
8,М-Ж,Частичное перекрытие,0,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_25466357.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_28931325.mp3,– Однако надлежит во всяком случае предпринять и военные меры.,"Животные, те, говорят, выносливы.",5.796,1.0,0.0,5.796,2.898,7.038
9,М-Ж,Частичное перекрытие,5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_21420011.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_36484562.mp3,Тунис с большой озабоченностью следит за развитием ситуации в Палестине.,"Но на священника слова Левина не произвели, как казалось, впечатления.",4.584,1.0,0.0,4.584,2.292,8.52
10,М-Ж,Параллельный диалог,-5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_19104019.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_32856008.mp3,Международное сообщество по-прежнему не в состоянии запустить переговоры по разоружению на Конференции.,Выступление президента Республики.,6.984,1.0,0.0,6.984,0.0,5.22
11,М-Ж,Параллельный диалог,0,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_30504389.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_30601759.mp3,"На ель Ворона взгромоздясь, позавтракать было совсем уж собралась",У меня есть все данные считать себя великим человеком.,7.236,1.0,0.0,7.236,0.0,4.068
12,М-Ж,Параллельный диалог,5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_22934991.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_27008457.mp3,Теперь осталось лишь найти эти средства.,Мы пытались восстановить доверие между группами.,3.072,1.0,0.0,3.072,0.0,4.428
13,Ж-Ж,Частичное перекрытие,-5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18922952.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18915276.mp3,Как Прокурор я обязан содействовать усилиям по исполнению выданных Судом ордеров на арест.,И только мы ответственны за ее нынешнюю ситуацию и за ее будущее.,7.296,1.0,0.0,7.296,3.648,9.024000000000001
14,Ж-Ж,Частичное перекрытие,0,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18921776.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18919847.mp3,Мы будем и впредь поступать подобным образом.,"Эту задачу мы выполняем вместе с Советом Безопасности, Африканским союзом и правительством Судана.",3.864,1.0,0.0,3.864,1.932,9.468
15,Ж-Ж,Частичное перекрытие,5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_18927275.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_26868726.mp3,Поэтому в данный момент в полной мере оценить возможные финансовые последствия не представляется возможным.,В докладе содержится наглядное описание напряженной работы Совета по правам человека.,7.536,1.0,0.0,7.536,3.768,9.888
16,Ж-Ж,Параллельный диалог,-5,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_31385403.mp3,cv-corpus-21.0-2025-03-14/ru\clips\common_voice_ru_38055201.mp3,Но отличная дорога.,И что это за свобода?,2.952,1.0,0.0,2.952,0.0,2.916
